I be(mA)	I ce(mA)	U(Ib)	I(Ib)0E+0	I(Ib)100E-3	I(Ib)200E-3	I(Ib)300E-3	I(Ib)400E-3	I(Ib)500E-3	I be(mA)	U be (V)	Ube(Ib)0E+0	Ube(Ib)100E-3	Ube(Ib)200E-3	Ube(Ib)300E-3	Ube(Ib)400E-3	Ube(Ib)500E-3	
0	0	0	0	27,295	47,412	59,863	68,701	75,488	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,344	47,461	59,912	68,75	75,586	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,295	47,461	59,961	68,848	75,635	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,344	47,559	60,01	68,896	75,732	0	0	0	73,73	77,148	78,613	79,102	79,59
0	0	0	0	27,295	47,559	60,059	68,945	75,83	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,344	47,607	60,107	69,043	75,879	0	0	0	73,73	77,148	78,613	79,102	79,59
0	0	0	0	27,344	47,607	60,156	69,092	75,977	0	0	0	73,73	77,148	78,613	79,102	79,59
0	0	0	0	27,344	47,656	60,205	69,189	76,025	0	0	0	73,73	77,148	78,613	79,102	79,59
0	0	0	0	27,344	47,656	60,303	69,238	76,123	0	0	0	73,73	77,148	78,613	79,102	79,59
0	0	0	0	27,393	47,754	60,352	69,287	76,221	0	0	0	73,73	77,148	78,613	79,102	79,59
0	0	0	0	27,344	47,754	60,4	69,385	76,27	0	0	0	73,242	77,148	78,613	79,102	80,078
0	0	0	0	27,393	47,803	60,449	69,434	76,367	0	0	0	73,73	77,148	78,613	79,102	79,59
0	0	0	0	27,344	47,803	60,498	69,482	76,416	0	0	0	73,73	77,148	78,613	79,102	79,59
0	0	0	0	27,393	47,852	60,547	69,58	76,514	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,393	47,9	60,596	69,629	76,562	0	0	0	73,73	77,148	78,613	79,102	79,59
0	0	0	0	27,393	47,949	60,693	69,775	76,709	0	0	0	73,242	77,148	78,125	79,102	79,59
0	0	0	0	27,393	47,998	60,742	69,824	76,807	0	0	0	73,73	77,148	78,125	79,102	79,59
0	0	0	0	27,441	48,047	60,791	69,873	76,855	0	0	0	73,73	77,148	78,613	79,102	79,59
0	0	0	0	27,393	48,047	60,84	69,922	76,953	0	0	0	73,73	77,148	78,125	79,102	79,59
0	0	0	0	27,441	48,096	60,889	70,02	77,051	0	0	0	73,73	77,148	78,125	79,102	79,59
0	0	0	0	27,441	48,096	60,937	70,068	77,1	0	0	0	73,73	77,148	78,125	79,102	79,59
0	0	0	0	27,441	48,145	60,986	70,117	77,148	0	0	0	73,73	77,148	78,613	79,102	79,59
0	0	0	0	27,441	48,193	61,084	70,215	77,246	0	0	0	73,73	77,148	78,125	79,102	79,59
